name,email,password,role,assessee,gov_id,,referensi_gov_id,referensi_nama_pemda
,,,,,,,202,"Kabupaten Purwakarta"
,,,,,,,203,"Kabupaten Karawang"
,,,,,,,204,"Kabupaten Bekasi"
,,,,,,,205,"Kabupaten Bandung Barat"
,,,,,,,206,"Kabupaten Pangandaran"
,,,,,,,207,"Kota Bogor"
,,,,,,,208,"Kota Sukabumi"
,,,,,,,209,"Kota Bandung"
,,,,,,,210,"Kota Cirebon"
,,,,,,,211,"Kota Bekasi"
,,,,,,,212,"Kota Depok"
,,,,,,,213,"Kota Cimahi"
,,,,,,,214,"Kota Tasikmalaya"
,,,,,,,215,"Kota Banjar"
,,,,,,,216,"Kabupaten Cilacap"
,,,,,,,217,"Kabupaten Banyumas"
,,,,,,,218,"Kabupaten Purbalingga"
,,,,,,,219,"Kabupaten Banjarnegara"
,,,,,,,220,"Kabupaten Kebumen"
,,,,,,,221,"Kabupaten Purworejo"
,,,,,,,222,"Kabupaten Wonosobo"
,,,,,,,223,"Kabupaten Magelang"
,,,,,,,224,"Kabupaten Boyolali"
,,,,,,,225,"Kabupaten Klaten"
,,,,,,,226,"Kabupaten Sukoharjo"
,,,,,,,227,"Kabupaten Wonogiri"
,,,,,,,228,"Kabupaten Karanganyar"
,,,,,,,229,"Kabupaten Sragen"
,,,,,,,230,"Kabupaten Grobogan"
,,,,,,,231,"Kabupaten Blora"
,,,,,,,232,"Kabupaten Rembang"
,,,,,,,233,"Kabupaten Pati"
,,,,,,,234,"Kabupaten Kudus"
,,,,,,,235,"Kabupaten Jepara"
,,,,,,,236,"Kabupaten Demak"
,,,,,,,237,"Kabupaten Semarang"
,,,,,,,238,"Kabupaten Temanggung"
,,,,,,,239,"Kabupaten Kendal"
,,,,,,,240,"Kabupaten Batang"
,,,,,,,241,"Kabupaten Pekalongan"
,,,,,,,242,"Kabupaten Pemalang"
,,,,,,,243,"Kabupaten Tegal"
,,,,,,,244,"Kabupaten Brebes"
,,,,,,,245,"Kota Magelang"
,,,,,,,246,"Kota Surakarta"
,,,,,,,247,"Kota Salatiga"
,,,,,,,248,"Kota Semarang"
,,,,,,,249,"Kota Pekalongan"
,,,,,,,250,"Kota Tegal"
,,,,,,,251,"Kabupaten Kulon Progo"
,,,,,,,252,"Kabupaten Bantul"
,,,,,,,253,"Kabupaten Gunung Kidul"
,,,,,,,254,"Kabupaten Sleman"
,,,,,,,255,"Kota Yogyakarta"
,,,,,,,256,"Kabupaten Pacitan"
,,,,,,,257,"Kabupaten Ponorogo"
,,,,,,,258,"Kabupaten Trenggalek"
,,,,,,,259,"Kabupaten Tulungagung"
,,,,,,,260,"Kabupaten Blitar"
,,,,,,,261,"Kabupaten Kediri"
,,,,,,,262,"Kabupaten Malang"
,,,,,,,263,"Kabupaten Lumajang"
,,,,,,,264,"Kabupaten Jember"
,,,,,,,265,"Kabupaten Banyuwangi"
,,,,,,,266,"Kabupaten Bondowoso"
,,,,,,,267,"Kabupaten Situbondo"
,,,,,,,268,"Kabupaten Probolinggo"
,,,,,,,269,"Kabupaten Pasuruan"
,,,,,,,270,"Kabupaten Sidoarjo"
,,,,,,,271,"Kabupaten Mojokerto"
,,,,,,,272,"Kabupaten Jombang"
,,,,,,,273,"Kabupaten Nganjuk"
,,,,,,,274,"Kabupaten Madiun"
,,,,,,,275,"Kabupaten Magetan"
,,,,,,,276,"Kabupaten Ngawi"
,,,,,,,277,"Kabupaten Bojonegoro"
,,,,,,,278,"Kabupaten Tuban"
,,,,,,,279,"Kabupaten Lamongan"
,,,,,,,280,"Kabupaten Gresik"
,,,,,,,281,"Kabupaten Bangkalan"
,,,,,,,282,"Kabupaten Sampang"
,,,,,,,283,"Kabupaten Pamekasan"
,,,,,,,284,"Kabupaten Sumenep"
,,,,,,,285,"Kota Kediri"
,,,,,,,286,"Kota Blitar"
,,,,,,,287,"Kota Malang"
,,,,,,,288,"Kota Probolinggo"
,,,,,,,289,"Kota Pasuruan"
,,,,,,,290,"Kota Mojokerto"
,,,,,,,291,"Kota Madiun"
,,,,,,,292,"Kota Surabaya"
,,,,,,,293,"Kota Batu"
,,,,,,,294,"Kabupaten Pandeglang"
,,,,,,,295,"Kabupaten Lebak"
,,,,,,,296,"Kabupaten Tangerang"
,,,,,,,297,"Kabupaten Serang"
,,,,,,,298,"Kota Tangerang"
,,,,,,,299,"Kota Cilegon"
,,,,,,,300,"Kota Serang"
,,,,,,,301,"Kota Tangerang Selatan"
,,,,,,,302,"Kabupaten Jembrana"
,,,,,,,303,"Kabupaten Tabanan"
,,,,,,,304,"Kabupaten Badung"
,,,,,,,305,"Kabupaten Gianyar"
,,,,,,,306,"Kabupaten Klungkung"
,,,,,,,307,"Kabupaten Bangli"
,,,,,,,308,"Kabupaten Karang Asem"
,,,,,,,309,"Kabupaten Buleleng"
,,,,,,,310,"Kota Denpasar"
,,,,,,,311,"Kabupaten Lombok Barat"
,,,,,,,312,"Kabupaten Lombok Tengah"
,,,,,,,313,"Kabupaten Lombok Timur"
,,,,,,,314,"Kabupaten Sumbawa"
,,,,,,,315,"Kabupaten Dompu"
,,,,,,,316,"Kabupaten Bima"
,,,,,,,317,"Kabupaten Sumbawa Barat"
,,,,,,,318,"Kabupaten Lombok Utara"
,,,,,,,319,"Kota Mataram"
,,,,,,,320,"Kota Bima"
,,,,,,,321,"Kabupaten Sumba Barat"
,,,,,,,322,"Kabupaten Sumba Timur"
,,,,,,,323,"Kabupaten Kupang"
,,,,,,,324,"Kabupaten Timor Tengah Selatan"
,,,,,,,325,"Kabupaten Timor Tengah Utara"
,,,,,,,326,"Kabupaten Belu"
,,,,,,,327,"Kabupaten Alor"
,,,,,,,328,"Kabupaten Lembata"
,,,,,,,329,"Kabupaten Flores Timur"
,,,,,,,330,"Kabupaten Sikka"
,,,,,,,331,"Kabupaten Ende"
,,,,,,,332,"Kabupaten Ngada"
,,,,,,,333,"Kabupaten Manggarai"
,,,,,,,334,"Kabupaten Rote Ndao"
,,,,,,,335,"Kabupaten Manggarai Barat"
,,,,,,,336,"Kabupaten Sumba Tengah"
,,,,,,,337,"Kabupaten Sumba Barat Daya"
,,,,,,,338,"Kabupaten Nagekeo"
,,,,,,,339,"Kabupaten Manggarai Timur"
,,,,,,,340,"Kabupaten Sabu Raijua"
,,,,,,,341,"Kabupaten Malaka"
,,,,,,,342,"Kota Kupang"
,,,,,,,343,"Kabupaten Sambas"
,,,,,,,344,"Kabupaten Bengkayang"
,,,,,,,345,"Kabupaten Landak"
,,,,,,,346,"Kabupaten Mempawah"
,,,,,,,347,"Kabupaten Sanggau"
,,,,,,,348,"Kabupaten Ketapang"
,,,,,,,349,"Kabupaten Sintang"
,,,,,,,350,"Kabupaten Kapuas Hulu"
,,,,,,,351,"Kabupaten Sekadau"
,,,,,,,352,"Kabupaten Melawi"
,,,,,,,353,"Kabupaten Kayong Utara"
,,,,,,,354,"Kabupaten Kubu Raya"
,,,,,,,355,"Kota Pontianak"
,,,,,,,356,"Kota Singkawang"
,,,,,,,357,"Kabupaten Kotawaringin Barat"
,,,,,,,358,"Kabupaten Kotawaringin Timur"
,,,,,,,359,"Kabupaten Kapuas"
,,,,,,,360,"Kabupaten Barito Selatan"
,,,,,,,361,"Kabupaten Barito Utara"
,,,,,,,362,"Kabupaten Sukamara"
,,,,,,,363,"Kabupaten Lamandau"
,,,,,,,364,"Kabupaten Seruyan"
,,,,,,,365,"Kabupaten Katingan"
,,,,,,,366,"Kabupaten Pulang Pisau"
,,,,,,,367,"Kabupaten Gunung Mas"
,,,,,,,368,"Kabupaten Barito Timur"
,,,,,,,369,"Kabupaten Murung Raya"
,,,,,,,370,"Kota Palangka Raya"
,,,,,,,371,"Kabupaten Tanah Laut"
,,,,,,,372,"Kabupaten Kota Baru"
,,,,,,,373,"Kabupaten Banjar"
,,,,,,,374,"Kabupaten Barito Kuala"
,,,,,,,375,"Kabupaten Tapin"
,,,,,,,376,"Kabupaten Hulu Sungai Selatan"
,,,,,,,377,"Kabupaten Hulu Sungai Tengah"
,,,,,,,378,"Kabupaten Hulu Sungai Utara"
,,,,,,,379,"Kabupaten Tabalong"
,,,,,,,380,"Kabupaten Tanah Bumbu"
,,,,,,,381,"Kabupaten Balangan"
,,,,,,,382,"Kota Banjarmasin"
,,,,,,,383,"Kota Banjar Baru"
,,,,,,,384,"Kabupaten Paser"
,,,,,,,385,"Kabupaten Kutai Barat"
,,,,,,,386,"Kabupaten Kutai Kartanegara"
,,,,,,,387,"Kabupaten Kutai Timur"
,,,,,,,388,"Kabupaten Berau"
,,,,,,,389,"Kabupaten Penajam Paser Utara"
,,,,,,,390,"Kabupaten Mahakam Hulu"
,,,,,,,391,"Kota Balikpapan"
,,,,,,,392,"Kota Samarinda"
,,,,,,,393,"Kota Bontang"
,,,,,,,394,"Kabupaten Malinau"
,,,,,,,395,"Kabupaten Bulungan"
,,,,,,,396,"Kabupaten Tana Tidung"
,,,,,,,397,"Kabupaten Nunukan"
,,,,,,,398,"Kota Tarakan"
,,,,,,,399,"Kabupaten Bolaang Mongondow"
,,,,,,,400,"Kabupaten Minahasa"
,,,,,,,401,"Kabupaten Kepulauan Sangihe"
,,,,,,,402,"Kabupaten Kepulauan Talaud"
,,,,,,,403,"Kabupaten Minahasa Selatan"
,,,,,,,404,"Kabupaten Minahasa Utara"
,,,,,,,405,"Kabupaten Bolaang Mongondow Utara"
,,,,,,,406,"Kabupaten Siau Tagulandang Biaro"
,,,,,,,407,"Kabupaten Minahasa Tenggara"
,,,,,,,408,"Kabupaten Bolaang Mongondow Selatan"
,,,,,,,409,"Kabupaten Bolaang Mongondow Timur"
,,,,,,,410,"Kota Manado"
,,,,,,,411,"Kota Bitung"
,,,,,,,412,"Kota Tomohon"
,,,,,,,413,"Kota Kotamobagu"
,,,,,,,414,"Kabupaten Banggai Kepulauan"
,,,,,,,415,"Kabupaten Banggai"
,,,,,,,416,"Kabupaten Morowali"
,,,,,,,417,"Kabupaten Poso"
,,,,,,,418,"Kabupaten Donggala"
,,,,,,,419,"Kabupaten Toli-Toli"
,,,,,,,420,"Kabupaten Buol"
,,,,,,,421,"Kabupaten Parigi Moutong"
,,,,,,,422,"Kabupaten Tojo Una-Una"
,,,,,,,423,"Kabupaten Sigi"
,,,,,,,424,"Kabupaten Banggai Laut"
,,,,,,,425,"Kabupaten Morowali Utara"
,,,,,,,426,"Kota Palu"
,,,,,,,427,"Kabupaten Kepulauan Selayar"
,,,,,,,428,"Kabupaten Bulukumba"
,,,,,,,429,"Kabupaten Bantaeng"
,,,,,,,430,"Kabupaten Jeneponto"
,,,,,,,431,"Kabupaten Takalar"
,,,,,,,432,"Kabupaten Gowa"
,,,,,,,433,"Kabupaten Sinjai"
,,,,,,,434,"Kabupaten Maros"
,,,,,,,435,"Kabupaten Pangkajene Dan Kepulauan"
,,,,,,,436,"Kabupaten Barru"
,,,,,,,437,"Kabupaten Bone"
,,,,,,,438,"Kabupaten Soppeng"
,,,,,,,439,"Kabupaten Wajo"
,,,,,,,440,"Kabupaten Sidenreng Rappang"
,,,,,,,441,"Kabupaten Pinrang"
,,,,,,,442,"Kabupaten Enrekang"
,,,,,,,443,"Kabupaten Luwu"
,,,,,,,444,"Kabupaten Tana Toraja"
,,,,,,,445,"Kabupaten Luwu Utara"
,,,,,,,446,"Kabupaten Luwu Timur"
,,,,,,,447,"Kabupaten Toraja Utara"
,,,,,,,448,"Kota Makassar"
,,,,,,,449,"Kota Parepare"
,,,,,,,450,"Kota Palopo"
,,,,,,,451,"Kabupaten Buton"
,,,,,,,452,"Kabupaten Muna"
,,,,,,,453,"Kabupaten Konawe"
,,,,,,,454,"Kabupaten Kolaka"
,,,,,,,455,"Kabupaten Konawe Selatan"
,,,,,,,456,"Kabupaten Bombana"
,,,,,,,457,"Kabupaten Wakatobi"
,,,,,,,458,"Kabupaten Kolaka Utara"
,,,,,,,459,"Kabupaten Buton Utara"
,,,,,,,460,"Kabupaten Konawe Utara"
,,,,,,,461,"Kabupaten Kolaka Timur"
,,,,,,,462,"Kabupaten Konawe Kepulauan"
,,,,,,,463,"Kabupaten Muna Barat"
,,,,,,,464,"Kabupaten Buton Tengah"
,,,,,,,465,"Kabupaten Buton Selatan"
,,,,,,,466,"Kota Kendari"
,,,,,,,467,"Kota Baubau"
,,,,,,,468,"Kabupaten Boalemo"
,,,,,,,469,"Kabupaten Gorontalo"
,,,,,,,470,"Kabupaten Pohuwato"
,,,,,,,471,"Kabupaten Bone Bolango"
,,,,,,,472,"Kabupaten Gorontalo Utara"
,,,,,,,473,"Kota Gorontalo"
,,,,,,,474,"Kabupaten Majene"
,,,,,,,475,"Kabupaten Polewali Mandar"
,,,,,,,476,"Kabupaten Mamasa"
,,,,,,,477,"Kabupaten Mamuju"
,,,,,,,478,"Kabupaten Mamuju Utara"
,,,,,,,479,"Kabupaten Mamuju Tengah"
,,,,,,,480,"Kabupaten Maluku Tenggara Barat"
,,,,,,,481,"Kabupaten Maluku Tenggara"
,,,,,,,482,"Kabupaten Maluku Tengah"
,,,,,,,483,"Kabupaten Buru"
,,,,,,,484,"Kabupaten Kepulauan Aru"
,,,,,,,485,"Kabupaten Seram Bagian Barat"
,,,,,,,486,"Kabupaten Seram Bagian Timur"
,,,,,,,487,"Kabupaten Maluku Barat Daya"
,,,,,,,488,"Kabupaten Buru Selatan"
,,,,,,,489,"Kota Ambon"
,,,,,,,490,"Kota Tual"
,,,,,,,491,"Kabupaten Halmahera Barat"
,,,,,,,492,"Kabupaten Halmahera Tengah"
,,,,,,,493,"Kabupaten Kepulauan Sula"
,,,,,,,494,"Kabupaten Halmahera Selatan"
,,,,,,,495,"Kabupaten Halmahera Utara"
,,,,,,,496,"Kabupaten Halmahera Timur"
,,,,,,,497,"Kabupaten Pulau Morotai"
,,,,,,,498,"Kabupaten Pulau Taliabu"
,,,,,,,499,"Kota Ternate"
,,,,,,,500,"Kota Tidore Kepulauan"
,,,,,,,501,"Kabupaten Fakfak"
,,,,,,,502,"Kabupaten Kaimana"
,,,,,,,503,"Kabupaten Teluk Wondama"
,,,,,,,504,"Kabupaten Teluk Bintuni"
,,,,,,,505,"Kabupaten Manokwari"
,,,,,,,506,"Kabupaten Sorong Selatan"
,,,,,,,507,"Kabupaten Sorong"
,,,,,,,508,"Kabupaten Raja Ampat"
,,,,,,,509,"Kabupaten Tambrauw"
,,,,,,,510,"Kabupaten Maybrat"
,,,,,,,511,"Kabupaten Manokwari Selatan"
,,,,,,,512,"Kabupaten Pegunungan Arfak"
,,,,,,,513,"Kota Sorong"
,,,,,,,514,"Kabupaten Merauke"
,,,,,,,515,"Kabupaten Jayawijaya"
,,,,,,,516,"Kabupaten Jayapura"
,,,,,,,517,"Kabupaten Nabire"
,,,,,,,518,"Kabupaten Kepulauan Yapen"
,,,,,,,519,"Kabupaten Biak Numfor"
,,,,,,,520,"Kabupaten Paniai"
,,,,,,,521,"Kabupaten Puncak Jaya"
,,,,,,,522,"Kabupaten Mimika"
,,,,,,,523,"Kabupaten Boven Digoel"
,,,,,,,524,"Kabupaten Mappi"
,,,,,,,525,"Kabupaten Asmat"
,,,,,,,526,"Kabupaten Yahukimo"
,,,,,,,527,"Kabupaten Pegunungan Bintang"
,,,,,,,528,"Kabupaten Tolikara"
,,,,,,,529,"Kabupaten Sarmi"
,,,,,,,530,"Kabupaten Keerom"
,,,,,,,531,"Kabupaten Waropen"
,,,,,,,532,"Kabupaten Supiori"
,,,,,,,533,"Kabupaten Mamberamo Raya"
,,,,,,,534,"Kabupaten Nduga"
,,,,,,,535,"Kabupaten Lanny Jaya"
,,,,,,,536,"Kabupaten Mamberamo Tengah"
,,,,,,,537,"Kabupaten Yalimo"
,,,,,,,538,"Kabupaten Puncak"
,,,,,,,539,"Kabupaten Dogiyai"
,,,,,,,540,"Kabupaten Intan Jaya"
,,,,,,,541,"Kabupaten Deiyai"
,,,,,,,542,"Kota Jayapura"
